Date,Open,High,Low,Close,Volume,Adj Close
1998-07-17,193.35,193.35,193.35,193.35,000,193.35
1998-07-16,181.32,181.32,181.32,181.32,000,181.32
1998-07-15,190.56,190.56,190.56,190.56,000,190.56
1998-07-14,183.65,183.65,183.65,183.65,000,183.65
1998-07-13,157.20,157.20,157.20,157.20,000,157.20
1998-07-10,144.02,144.02,144.02,144.02,000,144.02
1998-07-09,136.19,136.19,136.19,136.19,000,136.19
1998-07-08,134.81,134.81,134.81,134.81,000,134.81
1998-07-07,138.47,138.47,138.47,138.47,000,138.47
1998-07-06,145.01,145.01,145.01,145.01,000,145.01
1998-07-03,151.33,151.33,151.33,151.33,000,151.33
1998-07-02,144.21,144.21,144.21,144.21,000,144.21
1998-07-01,145.72,145.72,145.72,145.72,000,145.72
1998-06-30,151.35,151.35,151.35,151.35,000,151.35
1998-06-29,153.97,153.97,153.97,153.97,000,153.97
1998-06-26,163.99,163.99,163.99,163.99,000,163.99
1998-06-25,172.57,172.57,172.57,172.57,000,172.57
1998-06-24,178.21,178.21,178.21,178.21,000,178.21
1998-06-23,172.61,172.61,172.61,172.61,000,172.61
1998-06-22,172.37,172.37,172.37,172.37,000,172.37
1998-06-19,174.65,174.65,174.65,174.65,000,174.65
1998-06-18,177.24,177.24,177.24,177.24,000,177.24
1998-06-17,181.99,181.99,181.99,181.99,000,181.99
1998-06-16,169.02,169.02,169.02,169.02,000,169.02
1998-06-15,165.11,165.11,165.11,165.11,000,165.11
1998-06-12,178.13,178.13,178.13,178.13,000,178.13
1998-06-11,178.13,178.13,178.13,178.13,000,178.13
1998-06-10,184.26,184.26,184.26,184.26,000,184.26
1998-06-09,196.45,196.45,196.45,196.45,000,196.45
1998-06-08,205.31,205.31,205.31,205.31,000,205.31
1998-06-05,207.65,207.65,207.65,207.65,000,207.65
1998-06-04,208.61,208.61,208.61,208.61,000,208.61
1998-06-03,209.07,209.07,209.07,209.07,000,209.07
1998-06-02,192.75,192.75,192.75,192.75,000,192.75
1998-06-01,171.71,171.71,171.71,171.71,000,171.71
1998-05-29,191.29,191.29,191.29,191.29,000,191.29
1998-05-28,198.74,198.74,198.74,198.74,000,198.74
1998-05-27,187.23,187.23,187.23,187.23,000,187.23
1998-05-26,209.33,209.33,209.33,209.33,000,209.33
1998-05-25,213.44,213.44,213.44,213.44,000,213.44
1998-05-22,225.41,225.41,225.41,225.41,000,225.41
1998-05-21,230.23,230.23,230.23,230.23,000,230.23
1998-05-20,233.15,233.15,233.15,233.15,000,233.15
1998-05-19,236.58,236.58,236.58,236.58,000,236.58
1998-05-18,227.61,227.61,227.61,227.61,000,227.61
1998-05-15,258.10,258.10,258.10,258.10,000,258.10
1998-05-14,263.66,263.66,263.66,263.66,000,263.66
1998-05-13,279.19,279.19,279.19,279.19,000,279.19
1998-05-12,290.72,290.72,290.72,290.72,000,290.72
1998-05-11,302.82,302.82,302.82,302.82,000,302.82
1998-05-08,302.82,302.82,302.82,302.82,000,302.82
1998-05-07,304.74,304.74,304.74,304.74,000,304.74
1998-05-06,310.61,310.61,310.61,310.61,000,310.61
1998-05-05,315.21,315.21,315.21,315.21,000,315.21
1998-05-04,312.37,312.37,312.37,312.37,000,312.37
1998-05-01,312.37,312.37,312.37,312.37,000,312.37
1998-04-30,312.37,312.37,312.37,312.37,000,312.37
1998-04-29,306.21,306.21,306.21,306.21,000,306.21
1998-04-28,304.13,304.13,304.13,304.13,000,304.13
1998-04-27,309.63,309.63,309.63,309.63,000,309.63
1998-04-24,326.16,326.16,326.16,326.16,000,326.16
1998-04-23,322.10,322.10,322.10,322.10,000,322.10
1998-04-22,317.48,317.48,317.48,317.48,000,317.48
1998-04-21,314.26,314.26,314.26,314.26,000,314.26
1998-04-20,312.84,312.84,312.84,312.84,000,312.84
1998-04-17,312.69,312.69,312.69,312.69,000,312.69
1998-04-16,319.83,319.83,319.83,319.83,000,319.83
1998-04-15,313.12,313.12,313.12,313.12,000,313.12
1998-04-14,308.85,308.85,308.85,308.85,000,308.85
1998-04-13,310.07,310.07,310.07,310.07,000,310.07
1998-04-10,308.96,308.96,308.96,308.96,000,308.96
1998-04-09,306.39,306.39,306.39,306.39,000,306.39
1998-04-08,312.52,312.52,312.52,312.52,000,312.52
1998-04-07,316.33,316.33,316.33,316.33,000,316.33
1998-04-06,316.42,316.42,316.42,316.42,000,316.42
1998-04-03,313.48,313.48,313.48,313.48,000,313.48
1998-04-02,323.13,323.13,323.13,323.13,000,323.13
1998-04-01,321.91,321.91,321.91,321.91,000,321.91
1998-03-31,325.50,325.50,325.50,325.50,000,325.50
1998-03-30,331.28,331.28,331.28,331.28,000,331.28
1998-03-27,341.48,341.48,341.48,341.48,000,341.48
1998-03-26,335.03,335.03,335.03,335.03,000,335.03
1998-03-25,341.89,341.89,341.89,341.89,000,341.89
1998-03-24,344.75,344.75,344.75,344.75,000,344.75
1998-03-23,342.85,342.85,342.85,342.85,000,342.85
1998-03-20,335.78,335.78,335.78,335.78,000,335.78
1998-03-19,331.61,331.61,331.61,331.61,000,331.61
1998-03-18,325.06,325.06,325.06,325.06,000,325.06
1998-03-17,332.15,332.15,332.15,332.15,000,332.15
1998-03-16,349.35,349.35,349.35,349.35,000,349.35
1998-03-13,350.20,350.20,350.20,350.20,000,350.20
1998-03-12,350.31,350.31,350.31,350.31,000,350.31
1998-03-11,357.09,357.09,357.09,357.09,000,357.09
1998-03-10,354.56,354.56,354.56,354.56,000,354.56
1998-03-09,339.66,339.66,339.66,339.66,000,339.66
1998-03-06,339.66,339.66,339.66,339.66,000,339.66
1998-03-05,328.12,328.12,328.12,328.12,000,328.12
1998-03-04,334.18,334.18,334.18,334.18,000,334.18
1998-03-03,321.44,321.44,321.44,321.44,000,321.44
1998-03-02,323.91,323.91,323.91,323.91,000,323.91
1998-02-27,309.56,309.56,309.56,309.56,000,309.56
1998-02-26,309.21,309.21,309.21,309.21,000,309.21
1998-02-25,306.74,306.74,306.74,306.74,000,306.74
1998-02-24,307.13,307.13,307.13,307.13,000,307.13
1998-02-23,311.93,311.93,311.93,311.93,000,311.93
1998-02-20,305.81,305.81,305.81,305.81,000,305.81
1998-02-19,305.24,305.24,305.24,305.24,000,305.24
1998-02-18,303.02,303.02,303.02,303.02,000,303.02
1998-02-17,309.65,309.65,309.65,309.65,000,309.65
1998-02-16,303.50,303.50,303.50,303.50,000,303.50
1998-02-13,302.24,302.24,302.24,302.24,000,302.24
1998-02-12,302.53,302.53,302.53,302.53,000,302.53
1998-02-11,311.60,311.60,311.60,311.60,000,311.60
1998-02-10,302.68,302.68,302.68,302.68,000,302.68
1998-02-09,307.71,307.71,307.71,307.71,000,307.71
1998-02-06,304.04,304.04,304.04,304.04,000,304.04
1998-02-05,299.58,299.58,299.58,299.58,000,299.58
1998-02-04,284.80,284.80,284.80,284.80,000,284.80
1998-02-03,291.31,291.31,291.31,291.31,000,291.31
1998-02-02,300.61,300.61,300.61,300.61,000,300.61
1998-01-30,284.35,284.35,284.35,284.35,000,284.35
1998-01-29,265.93,265.93,265.93,265.93,000,265.93
1998-01-28,276.88,276.88,276.88,276.88,000,276.88
1998-01-27,284.39,284.39,284.39,284.39,000,284.39
1998-01-26,280.59,280.59,280.59,280.59,000,280.59
1998-01-23,294.71,294.71,294.71,294.71,000,294.71
1998-01-22,308.80,308.80,308.80,308.80,000,308.80
1998-01-21,325.34,325.34,325.34,325.34,000,325.34
1998-01-20,338.32,338.32,338.32,338.32,000,338.32
1998-01-19,339.47,339.47,339.47,339.47,000,339.47
1998-01-16,334.54,334.54,334.54,334.54,000,334.54
1998-01-15,329.89,329.89,329.89,329.89,000,329.89
1998-01-14,338.42,338.42,338.42,338.42,000,338.42
1998-01-13,341.76,341.76,341.76,341.76,000,341.76
1998-01-12,319.02,319.02,319.02,319.02,000,319.02
1998-01-09,372.46,372.46,372.46,372.46,000,372.46
1998-01-08,382.06,382.06,382.06,382.06,000,382.06
1998-01-07,410.04,410.04,410.04,410.04,000,410.04
1998-01-06,410.04,410.04,410.04,410.04,000,410.04
1998-01-05,411.61,411.61,411.61,411.61,000,411.61
1998-01-02,396.41,396.41,396.41,396.41,000,396.41
1998-01-01,396.41,396.41,396.41,396.41,000,396.41
1997-12-31,396.86,396.86,396.86,396.86,000,396.86
1997-12-30,396.41,396.41,396.41,396.41,000,396.41
1997-12-29,389.02,389.02,389.02,389.02,000,389.02
1997-12-26,380.11,380.11,380.11,380.11,000,380.11
